Stop Name,Line,Borough,Complex ID,Constituent Station Name,Station ID,GTFS Stop ID,Daytime Routes,Entry Allowed,Exit Allowed,Entrance Latitude,Entrance Longitude
2 Av,6th Av - Culver,M,232,2 Av,232,F14,F,YES,YES,40.7227919,-73.9889701
2 Av,6th Av - Culver,M,232,2 Av,232,F14,F,YES,YES,40.7232077,-73.9888803
Delancey St-Essex St,6th Av - Culver,M,625,Delancey St-Essex St,233,F15,F M J Z,YES,YES,40.7183827,-73.9884421
Delancey St-Essex St,6th Av - Culver,M,625,Delancey St-Essex St,233,F15,F M J Z,YES,YES,40.7181166,-73.9882986
Delancey St-Essex St,6th Av - Culver,M,625,Delancey St-Essex St,233,F15,F M J Z,YES,YES,40.7187876,-73.9882306
Delancey St-Essex St,6th Av - Culver,M,625,Delancey St-Essex St,233,F15,F M J Z,YES,YES,40.7189431,-73.9878719
Delancey St-Essex St,6th Av - Culver,M,625,Delancey St-Essex St,233,F15,F M J Z,NO,YES,40.7181556,-73.9882593
Delancey St-Essex St,6th Av - Culver,M,625,Delancey St-Essex St,233,F15,F M J Z,NO,YES,40.7189985,-73.987826
East Broadway,6th Av - Culver,M,234,East Broadway,234,F16,F,YES,YES,40.7142366,-73.9903537
East Broadway,6th Av - Culver,M,234,East Broadway,234,F16,F,YES,YES,40.7127305,-73.9902171
East Broadway,6th Av - Culver,M,234,East Broadway,234,F16,F,YES,YES,40.713885,-73.9900148
East Broadway,6th Av - Culver,M,234,East Broadway,234,F16,F,YES,YES,40.7144001,-73.9899
York St,6th Av - Culver,B,235,York St,235,F18,F,YES,YES,40.70138,-73.986655
Bergen St,6th Av - Culver,B,236,Bergen St,236,F20,F G,YES,YES,40.6855861,-73.991461
Bergen St,6th Av - Culver,B,236,Bergen St,236,F20,F G,YES,YES,40.6854562,-73.9911364
Bergen St,6th Av - Culver,B,236,Bergen St,236,F20,F G,YES,YES,40.6867325,-73.9906886
Bergen St,6th Av - Culver,B,236,Bergen St,236,F20,F G,YES,YES,40.6868716,-73.9905133
Bergen St,6th Av - Culver,B,236,Bergen St,236,F20,F G,YES,YES,40.6866112,-73.9904
Bergen St,6th Av - Culver,B,236,Bergen St,236,F20,F G,YES,YES,40.6867354,-73.9902909
Carroll St,6th Av - Culver,B,237,Carroll St,237,F21,F G,YES,YES,40.6792701,-73.9957771
Carroll St,6th Av - Culver,B,237,Carroll St,237,F21,F G,YES,YES,40.6793588,-73.9952827
Carroll St,6th Av - Culver,B,237,Carroll St,237,F21,F G,YES,YES,40.6811236,-73.9944306
